0.0.0.0,a
10.1.1.0/24,b
10.37.1.0/24,c
10.33.1.0/24,
10.34.1.0/24,
10.35.1.0/24,
10.36.1.0/24,
10.38.1.0/24,
72.36.82.0/24,
10.39.1.0/24,
10.31.1.0/24,
10.32.1.0/24,
10.37.1.250,
10.37.1.201,
10.37.1.101,
10.37.1.102,
72.36.82.194,
72.36.82.195,
10.39.1.22,
192.17.102.102,
192.17.102.103,
192.17.102.104,
70.32.128.22,
70.32.128.74,
70.32.128.171,
10.33.1.201,
10.33.1.202,
10.33.1.203,
10.33.1.101,
10.33.1.102,
10.33.1.103,
10.33.1.104,
10.33.1.105,
10.33.1.106,
10.33.1.107,
10.33.1.250,
10.34.1.250,
10.34.1.201,
10.34.1.202,
10.34.1.101,
10.34.1.102,
10.34.1.103,
10.35.1.250,
10.35.1.201,
10.35.1.202,
10.35.1.203,
10.35.1.101,
10.35.1.102,
10.35.1.103,
10.35.1.104,
10.36.1.250,
10.36.1.201,
10.36.1.202,
10.36.1.203,
10.36.1.101,
10.36.1.102,
10.36.1.103,
10.36.1.104,
10.36.1.105,
10.38.1.201,
10.38.1.202,
10.38.1.203,
10.38.1.101,
10.38.1.102,
10.38.1.103,
10.38.1.104,
10.38.1.105,
10.38.1.250,
10.31.1.250,
10.31.1.201,
10.31.1.202,
10.31.1.203,
10.31.1.204,
10.31.1.205,
10.31.1.206,
10.31.1.207,
10.31.1.101,
10.31.1.102,
10.31.1.103,
10.31.1.104,
10.31.1.105,
10.32.1.250,
10.32.1.201,
72.36.82.196,
0.0.0.0/0,
72.0.0.0/8,
192.17.0.0/16,
72.36.82.1,
